,BCU,15C_average,15C_h08_gfdl-esm4,15C_h08_ipsl-cm6a-lr,15C_h08_mpi-esm1-2-hr,15C_h08_mri-esm2-0,15C_h08_ukesm1-0-ll,3C_average,3C_h08_gfdl-esm4,3C_h08_ipsl-cm6a-lr,3C_h08_mpi-esm1-2-hr,3C_h08_mri-esm2-0,3C_h08_ukesm1-0-ll,baseline
82,75|LAM,-0.542907482561,-0.476915807937,-0.573811741176,-0.484641351084,-0.592529228194,-0.586639268691,-0.690842866083,-0.897430154703,-0.712379534213,-0.696772413873,-0.526306046832,-0.621326169114,-0.413561084121
83,76|LAM,-0.0602564258531,-0.0580095377113,-0.0418293678126,-0.056284686546,-0.072788366982,-0.0723701688071,-0.0640958483,-0.0722521368095,-0.0471274127008,-0.048567592572,-0.0730020448718,-0.0795300568752,-0.0670500663691
84,83|LAM,-0.00992675396992,-0.0286398397293,-0.00370157195721,-0.0030160814058,-0.0093956199853,-0.00488065654645,-0.0246278530403,-0.0408491808521,-0.058148272874,-0.0108895316662,-0.000283315603156,-0.0129689646274,-0.00708061718615
85,84|LAM,-0.48213211853,-0.504156374614,-0.464966659689,-0.420010027398,-0.435267809029,-0.586259714233,-0.499783287853,-0.611995265077,-0.608616515887,-0.404324659798,-0.42124794039,-0.452732045213,-0.390043855758
86,93|LAM,-0.281100731727,-0.272421201506,-0.283783506174,-0.291551477391,-0.28695458318,-0.27079287421,-0.291681686844,-0.314610982574,-0.287953009523,-0.284481934744,-0.304122203719,-0.267240335116,-0.277645565186
87,97|LAM,-1.1291745194,-1.1135388464,-1.17185908591,-1.10682847242,-1.1171904095,-1.13645599296,-1.09134710107,-1.04000679534,-1.09219994023,-1.07788458704,-1.13386941352,-1.11277467962,-1.17785338023
88,99|LAM,-0.000252721811194,-0.000350286958565,-0.000132830755319,-0.00021023437148,-6.68748325552e-05,-0.000503382143506,-0.000656146737356,-0.000745408979128,-0.000968424210441,-0.000335368120432,0.0,-0.00123153245022,0.0
89,100|LAM,-6.56816341074,-6.6266311255,-6.52887621661,-6.4972478352,-6.75152765735,-6.43653444852,-6.91957028179,-7.13589281186,-6.68217003725,-6.78102603705,-7.3534963175,-6.64526623976,-6.44773641559
90,101|LAM,-0.00204526193829,-0.000146309766478,0.0,-0.00104380981793,-0.00675547775791,-0.00228071246966,-0.0109094478717,-0.00250421209421,-0.0354867054875,-0.0075333198447,-0.00369888120622,-0.00532412115354,0.0
91,108|LAM,-0.186145163505,-0.172090162694,-0.160528654465,-0.140766370139,-0.215159109537,-0.24218151626,-0.258915261378,-0.228674473903,-0.369036846837,-0.241006800979,-0.178418097405,-0.277440097674,-0.15446163826
92,111|LAM,-0.0857916357704,-0.0530278091765,-0.0930992406211,-0.112538952397,-0.137069224063,-0.0332229413689,-0.0701711431452,-0.0675803350969,-0.105032389221,-0.0826586253716,-0.0699975921143,-0.0255867787091,-0.0392665222753
93,113|LAM,-0.000891493195923,0.0,-8.31379365991e-05,-0.00156613389845,0.0,-0.00280819422551,-0.00145509319736,-0.00061225699028,-0.000546562536329,-0.00140706787352,-0.00153512216639,-0.00317445647033,-0.00187467534124
94,116|LAM,-0.94517555299,-0.927704609553,-0.879526323882,-0.801165509754,-1.2704420543,-0.847039270359,-0.924566372268,-0.898790487863,-0.944251541101,-0.634136737859,-1.13941493615,-1.0062381395,-0.95358449495
95,122|LAM,-1.54897534225,-1.73294175455,-1.45855130594,-1.73255349949,-1.55605648342,-1.26477360009,-1.85950534582,-2.07810102076,-1.4479959444,-2.06779988535,-2.19900973043,-1.5046201232,-1.66538611781
96,125|LAM,-0.125436019008,-0.157858587604,-0.113395385459,-0.122497352006,-0.0727428381761,-0.160685927899,-0.168720687852,-0.230888687066,-0.114205875248,-0.187947028403,-0.147725672341,-0.162836177962,-0.126605218837
97,137|LAM,-1.71980252862,-1.52871904556,-1.78269220783,-1.84672700903,-1.61228442311,-1.82859003657,-1.8496571856,-2.00155083362,-2.12351500788,-1.87152789335,-1.6344829682,-1.61720920014,-1.66915898435
98,139|LAM,-0.0396216844529,-0.0465941449438,-0.0338999964761,-0.0447065868502,-0.0353779167508,-0.0375297761966,-0.0490771108206,-0.0724156282849,-0.0397355144387,-0.0493159889356,-0.0367970327343,-0.0471213887249,-0.0351761511993
99,152|LAM,-0.00294534350792,-0.0037238916957,-0.00252910237759,-0.000256459383309,-0.00410896676567,-0.00410829756129,-0.00531831429919,-0.00615675975587,-0.00507666636076,-0.00453779629879,-0.00385126588026,-0.00696908362852,-0.00216356193414
100,155|LAM,-0.201795949579,-0.30182728146,-0.197288744588,-0.162594355557,-0.121986816244,-0.225282553409,-0.251594868896,-0.401644747184,-0.281297209529,-0.19063112461,-0.168352671848,-0.216048580602,-0.163295508646
101,3|MEA,-0.888579295453,-1.01751004726,-0.72714458128,-0.897705180209,-1.01104640298,-0.789490268139,-1.13067881589,-1.13061701117,-1.32093691105,-1.07511634562,-1.23360264946,-0.893121183001,-0.699040179581
102,4|MEA,-3.57348889552,-3.84760418913,-3.0911063194,-3.5135849164,-3.75671710662,-3.65843202427,-4.08257052353,-4.13768149298,-4.29872127824,-3.68361484982,-3.97403295744,-4.31880207262,-2.87231235023
103,5|MEA,-0.138395201308,-0.150344021449,-0.135964278845,-0.139340586806,-0.132543592343,-0.133783530695,-0.141689919919,-0.148815587723,-0.148066471899,-0.138336630749,-0.140266160168,-0.132964737308,-0.141189422175
104,14|MEA,-11.6462291473,-11.5069617156,-12.0227767289,-11.7635110562,-11.5253196168,-11.4125773255,-13.2833661568,-12.0456000623,-16.7258682293,-12.5959740359,-12.2652851885,-12.7841031651,-12.0774418088
105,30|MEA,-3.18446113034,-3.3653024162,-3.18758297352,-3.09365882847,-3.36980440849,-2.90595689624,-3.31075390565,-3.34492331768,-3.42806426191,-3.40219547425,-3.33085321449,-3.0477331763,-3.15641209298
106,31|MEA,-6.81711131576,-7.16075560084,-6.34399075672,-6.69971981764,-6.98743171495,-6.89365872287,-7.19882335333,-7.00910226535,-7.3137388418,-7.38756703836,-7.02830406884,-7.25540433731,-6.39170808351
107,34|MEA,-15.6707373704,-16.5915445199,-15.6180914909,-15.3426754352,-15.8686031334,-14.9327721374,-15.9447226279,-16.5505533784,-16.119106033,-15.7986531746,-16.0465372902,-15.2087630985,-15.4357120876
108,40|MEA,-3.20186247177,-3.30263086823,-3.18254867387,-3.17548435986,-3.17103772483,-3.17761044588,-3.2696160299,-3.24706109694,-3.4065985806,-3.26140325116,-3.23480387168,-3.19821327853,-3.17414032987
109,50|MEA,-0.916881752644,-0.939419105729,-0.925013116685,-0.927606730853,-0.914908535815,-0.877461289925,-0.932338930143,-0.960602437471,-0.945654934407,-0.953733823122,-0.933517117737,-0.868186397576,-0.914772536045
110,78|MEA,-0.0580558965266,-0.0560080598734,-0.156921482412,-0.0297380878183,-0.0464237732522,-0.00118808065599,-0.059067271548,-0.159161983989,-0.110786105401,-0.00446552742505,-0.0206669934269,-0.00025574490428,-0.154212324705
111,85|MEA,-2.75432505572,-3.03575269179,-2.62172502324,-2.7727692409,-2.62940649655,-2.71197181456,-2.86507365142,-2.93995298014,-2.90560073522,-2.97383668507,-2.8221011727,-2.68387665314,-2.67950871291
112,87|MEA,-2.86672337866,-3.08496937039,-2.74800474399,-3.01001523767,-2.52107955966,-2.96954802919,-3.32192436775,-3.43939261812,-3.53946914866,-3.4788376689,-3.18386681148,-2.96805556842,-2.4942606862
113,96|MEA,-21.2634084098,-21.0727457758,-21.5076593673,-22.026574262,-21.4831861541,-20.2268769198,-21.1591796754,-21.0882130009,-21.881520114,-21.0417339035,-21.2426897699,-20.5417409123,-21.9081088618
114,115|MEA,-3.40170352418,-3.64047955142,-3.61459677271,-3.17289348542,-3.35273171269,-3.22781611385,-3.56950702113,-3.65607085629,-3.89816334885,-3.42140278825,-3.56421377239,-3.30768433284,-3.44770717118
115,120|MEA,-1.44314191918,-1.26210233573,-1.07128621061,-1.92102470495,-1.37096316823,-1.59033308648,-1.57258231898,-1.32144943432,-1.54428880585,-1.89309518692,-1.40747339653,-1.69660487748,-1.13132649691
116,121|MEA,-0.000175322726136,0.0,0.0,-0.000580966530833,0.0,-0.000295647099847,-5.91062816966e-05,0.0,-0.000295531412121,0.0,0.0,0.0,0.0
117,151|MEA,-33.1631949025,-35.3663395519,-31.6166901629,-33.6249911996,-32.3703524317,-32.8376020114,-34.5790491834,-34.3903127875,-35.8614386731,-35.6822523514,-33.699761528,-33.261480637,-32.3713605072
118,17|NAM,-0.000707580565177,-0.000609844601058,0.0,-0.00167410992799,-0.000225312898692,-0.00102863533539,-0.000289378384423,-0.000263779673332,-9.75959319476e-05,0.0,-0.000345009128068,-0.000740507173759,0.0
119,27|NAM,-10.4762900282,-9.69553811493,-10.4193014005,-10.9013905377,-10.3769182522,-10.9883009476,-10.6611842798,-8.96443622461,-11.3598045735,-10.8193301761,-10.5196914151,-11.6426592564,-10.3508966794
120,28|NAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,33|NAM,-0.283338676847,-0.276256813006,-0.276539044811,-0.267917976154,-0.240044983184,-0.355934537307,-0.290042003868,-0.289321390577,-0.257476913292,-0.267761617899,-0.265720007359,-0.369930103112,-0.276480421675
122,36|NAM,-11.8527076911,-11.9874566871,-13.1346490869,-11.8390301976,-11.4614206848,-10.8409819826,-12.1772919208,-11.3689413351,-12.7532838728,-12.7604253199,-11.8225297326,-12.1812793453,-12.4296533172
123,52|NAM,-0.00797053916331,-0.00864451541383,-0.0088666658001,-0.00606919708662,-0.00890184341552,-0.00737047548631,-0.00729914189424,-0.00792255434135,-0.00825766206111,-0.00745698628998,-0.00650651767501,-0.00635199049611,-0.00597931682569
124,55|NAM,-2.80613826027,-2.97810860782,-3.06294208196,-2.72884405805,-2.9853390364,-2.27545749355,-2.88527494926,-2.63184062717,-2.8880456027,-3.09862180196,-3.04920974098,-2.75865699201,-3.10290851972
125,56|NAM,-3.83858273402,-5.11539444869,-2.57975941234,-3.1636522585,-3.5911141196,-4.74299345543,-4.99795409517,-4.78992526576,-3.40414625499,-4.85215013676,-5.90372837334,-6.03982039206,-3.07124492044
126,58|NAM,-0.869203307727,-1.25667684602,-0.790178388939,-0.767681227514,-0.882136696931,-0.649343399698,-1.0590978373,-1.06001322722,-0.802604847373,-0.903992881613,-1.2565706085,-1.27230761485,-0.602578549762
127,63|NAM,-1.14109670903e-05,-5.70548363612e-05,0.0,0.0,0.0,0.0,-7.85287738836e-06,0.0,0.0,-2.63174952124e-05,0.0,-1.29468935484e-05,0.0
128,81|NAM,-0.00249811893218,-0.000761487203818,-0.00245957294374,-0.00153029341345,-0.00433894991511,-0.00340029128802,-0.00122734482716,-0.00150666647187,-0.000936737941629,-0.00125045701498,-0.00171660983142,-0.000726252867935,-0.00263458202244
129,90|NAM,-19.1133549538,-18.6685168095,-16.8430984645,-18.5330548042,-19.09451022,-22.4275943421,-22.1310902615,-17.2788978537,-16.7809320625,-26.3732983251,-22.1907601101,-28.0315628174,-16.7560784867
130,97|NAM,-4.13554754357,-4.14785062604,-4.48339470207,-3.75039663962,-4.05575150849,-4.24034428384,-4.26363784926,-4.0352930482,-4.0391617853,-4.25691273369,-4.33565920262,-4.65116257864,-4.49555550284
131,103|NAM,-0.000500637094092,-0.000460483474399,0.0,-0.000482908338199,-0.00109207532114,-0.000467718356958,-0.000282720142422,-0.000347188182786,-0.000249292448643,-0.000445844714704,-0.000184639740837,-0.000186635617865,-0.000812404814496
132,104|NAM,-0.00341854986982,-0.00493231287692,-0.00584186847846,-0.00499056883564,-0.00104474276304,-0.000283256289549,-0.00255484225636,-0.00211486074841,-0.00503403387847,-0.00301735350513,0.0,-0.00260796269868,-0.000776459637564
133,109|NAM,-0.0041330377851,-0.00260080487715,-0.000942193424635,-0.00361679471007,-0.0030155593613,-0.010489836357,-0.00125769346189,-0.000440947108928,-0.000803843606263,-0.00374116630223,-0.000157525786562,-0.00114498452513,-0.00633156147251
134,122|NAM,-0.988961504869,-1.02364589349,-1.1252317885,-1.03075973895,-0.962121377714,-0.803048778676,-1.0426879572,-0.985660858494,-0.833729287565,-1.26372769774,-1.12208026617,-1.00824158599,-1.10845018876
